Article,Date,Heading,NewsType
"KARACHI: Oil and Gas Regulation Authority (OGRA) spokesman has categorically stated that Compressed Natural Gas (CNG) cannot be sold in litres in Sindh province.</strongThe spokesman for the regulatory body said, “Sale of CNG in litre in Sindh is illegal. Strict actions will be taken against those violating the orders.”He said OGRA has sent letter to CNG Associations regarding the issue. Different inspection teams have been formed to collect data of CNG pumping stations in Karachi.",8/10/2016,Sale of CNG in litres illegal in Sindh OGRA,business
"TOKYO: Tokyo stocks opened lower Wednesday as a stronger yen hit exporters and following a lacklustre lead from Wall Street.</strongThe benchmark Nikkei 225 index slipped 0.39 percent, or 65.89 points, to 16,699.08 in opening deals, while the broader Topix index of all first-section shares fell 0.42 percent, or 5.51 points, to 1,311.98.",8/10/2016,Tokyo stocks down at ,business
"WASHINGTON: Huffington Post co-founder Arianna Huffington said on Thursday she would leave the company to focus on running her new venture, health and wellness startup Thrive Global.</strong""I thought HuffPost would be my last act. But I've decided to step down as HuffPost's editor-in-chief to run my new venture, Thrive Global,"" she tweeted.Thrive Global, which will offer services to companies to improve the well-being of their employees, recently closed a Series A funding round ahead of a launch in the fall.Verizon Communications Inc owns the Huffington Post through AOL, which bought the liberal American online news aggregator and blog for $315 million in February 2011.",8/11/2016,Arianna Huffington leave Huffington P,business
"ZURICH: Switzerland's highest court has ordered Israel to pay Iran around $1.1 billion plus interest in a decades-old dispute over a secretive oil pipeline company predating the 1979 Islamic revolution which made the countries enemies.</strongThe Swiss Federal Tribunal rejected an appeal, citing lack of due process, against an arbitration ruling last year. The verdict, dated June 27, was available on the Lausanne court's website.It also awarded Iran 450,000 Swiss francs ($461,302) in court costs and lawyer fees.It remains unclear whether Israel will pay up given restrictions its ""trading with the enemy"" laws.Lawyers for each side had been locked in an arbitration over the Eilat-Ashkelon Pipeline Co (EAPC), a joint venture set up in 1968, when the two nations were friendly, to transport Iranian oil to the Mediterranean.For a decade, the pipeline successfully carried oil from the Red Sea for export to Europe. But since the Islamic revolution that brought the ayatollahs to power, Iran has been demanding its share of revenues and assets that remained in Israel.Since the partnership collapsed, EAPC has grown into a complex of energy assets, now mostly handling oil from former Soviet states.How much profit it has made or how much it is worth is unknown, largely because it is protected in a similar way to Israel's intelligence agencies, including by gag orders restricting coverage of its activities.But Tehran, setting aside its decades-old refusal to recognise Israel's right to exist, had determined to recoup its part of EAPC and pursued a complex arbitration case since 1994, first in France and then in Switzerland.In that time, the company has become the largest distributor of oil in Israel, with ambitions to become a major hub for energy trading in the Mediterranean. Israel maintains tight controls over EAPC.The company has its roots in the 1967 Middle East war, when Egypt blocked the Suez Canal, making it impossible for Iran to transport its oil by tanker to Europe. Under the EAPC deal, Iranian tankers would unload at the Red Sea port of Eilat and oil would flow 254 km (158 miles) northwest to Ashkelon.The countries formed a straw company in Halifax, Canada called APC Holdings, the primary shareholder in EAPC. By December 1969 the pipeline was ready to handle 60 million tons of crude a year, though it never reached that level.A decade later Iran's Shah was ousted and the partners in EAPC became enemies overnight.Lawyers for both countries have declined to comment.Case number: 4A_322/2015 ($1 = 0.9755 Swiss francs)",8/11/2016,Swiss court backs Iran decades old oil row Isr,business
"DUBAI: It´s been an eventful few days for Mohammad Basheer Abdul Khadar, an Indian living in Dubai.</strongIn the space of a week, he survived a crash landing at Dubai airport then won $1 million in a lottery organised by the airport´s duty free operator, Gulf News reported.The 62-year-old was flying home from holidays with family in India when the Boeing 777 in which he was travelling caught fire on landing with 300 people on board.The accident on Wednesday shut down the Middle East´s busiest airport for several hours, forcing authorities to cancel hundreds of flights. All the passengers and crew escaped unharmed, but a firefighter died tackling the blaze.Just six days later, Khadar discovered that the lottery ticket he´d bought on the way to India was now worth $1 million.A fleet administrator with a Dubai car dealership, Khadar told Gulf News he habitually bought a lottery ticket on his way to visit family in the southern Indian state of Kerala.Ticket number 845 in the ""Millenium Millionaire"" draw at the airport´s Dubai Duty Free proved to be his winning shot.""I live a simple life, and now that it´s my time to retire, I feel like God gave me a second life when I survived the plane crash, and blessed me with this money to follow all this up by doing good things,"" he told Gulf News.Khadar has lived in Dubai for 37 years and is married with two children, one of whom is paralysed after a fall early on in his childhood, reported Gulf News.Khadar told Gulf News he was planning to return to Kerala to retire and would use the money to help children in Kerala who need financial support.He said he earns around $2,200 (2,000 euros) a month, and would continue to work as long as he could.""Nothing else can give you the satisfaction of your hard-earned money,"" he said.",8/11/2016,Dubai plane crash survivor hits 1m j,business
"KARACHI: Pakistan stocks ended at a record high on Monday after State Bank of Pakistan left interest rates unchanged last week, dealers said.</strongThe benchmark 100-share index on the Pakistan Stock Exchange closed up 0.75 percent at 39,800.64. It hit an all-time high of 39,917.13 during the session.The SBP in its monetary policy announcement on Saturday kept its discount rate unchanged at 5.75 percent.""Unchanged interest rates in monetary policy announcement led to investor interest in banks, creating a positive sentiment in the first session of the week,"" said Hammad Aman, manager equity sales at Topline Securities Pvt Ltd.United Bank Ltd gained 0.60 percent, MCB Bank Ltd was up 1.58 percent, Bank Alfalah Ltd rose 4.18 percent and National Bank of Pakistan gained 4.99 percent.The rupee ended at 104.81/104.85 against the dollar, unchanged from Friday´s close.Overnight rates in the money market fell to 5.40 percent from Friday´s close of 6.30 percent.",8/1/2016,Pakistan stocks end record hig,business
"Islamabad: International financial market analysis firm BMI says that Pakistan will be developed as manufacturing hub over the coming years.</strongAccording to a Business Monitor International report, Pakistan will be among top 10 emerging markets from Asia and Africa in future because of its economic growth over the next ten years.The report reveals that Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in coming years.BMI says textile and automotive sectors in Pakistan are showing the fastest growth rate.The domestic manufacturing investment is also expected to be boosted considering the lower energy prices and an improved domestic energy supply.Pakistan whose current primary sector is agribusiness with textile and rice being the key exports is expected to become a manufacturing hub in the coming years. In the beginning of BMI’s Forecast period the textile and automotive sector presented a faster growth.The domestic manufacturing investment is expected to be boosted considering the lower energy prices and an improved domestic energy supply.",8/1/2016,Pakistan will be among top 10 emerging markets from Asia BMI,business
"ISLAMABAD: The Jewellary exports from the country increased by 28.78 percent during the fiscal year 2015 16 compared to the corresponding period of last year.</strongThe overall exports of jewellary from the country during July June (2015 16) were recorded at 8.492 million compared to the exports of 6.594 million in July June (2014 15) according to Pakistan Bureau of Statistics (PBS).Meanwhile on year on year basis the jewellary exports increased by 183.55 million in June 2016 compared to the exports of June 2015. The Jewellary exports during June 2016 were recorded at 1.310million in June 2016 compared to the exports of 0.462 million in June 2015. On month on month basis the exports of jewellary increased by18.23 percent in June 2016 when compared to the exports of 1.108million in May 2016, the PBS data revealed.Meanwhile the gem exports from the country declined by 49.72percent during the fiscal year 2015 16 by going down from 7.846million last year to 3.944 million during the current year.On year on year basis the exports of gems however decreased by 30.83 percent in June 2016 to 0.249 million compared to the exports of 0.360 million.While as compared to the exports of 0.487 million in May2016 the exports of gems in June decreased by 48.87 percent.It is pertinent to mention here that the overall mercantile exports from the country declined by 12.11 percent during the year2015 16 as compared to same period of previous year.The country s exports went down from 23.667 billion in July June (2014 15) to 20.802 billion during corresponding period of the year 2015 16.",8/1/2016,Pakistan Jewellary exports up 29 FY16,business
"Tokyo: Tokyo stocks opened lower Monday, despite a mostly solid lead from Wall Street after the Bank of Japan last week disappointed investors with underwhelming tweaks to its stimulus programme.</strongThe benchmark Nikkei 225 index slipped 0.93 percent, or 153.96 points, to open at 16,415.31, while the broader Topix index of all first-section shares lost 1.09 percent, or 14.44 points, to 1,308.30.",8/1/2016,Tokyo stocks open lower after BoJ under,business
ISLAMABAD: The Federal Board of Revenue (FBR) on Tuesday issued property valuation tables for major cities of the country for the purpose of calculation of capital gain tax.</strongThe valuation has been agreed between business community and FBR in recent parleys which concluded last Saturday and announced by Finance Minister Senator Ishaq Dar said a statement issued by FBR here.The valuation shows various categories of open and constructed plots.,8/2/2016,FBR issues immovable property valuation tables for major citi,business
